Metric,Value
timing__unannotated_net_filtered__count__corner:min_tt_025C_3v30,0
design__max_slew_violation__count__corner:max_tt_025C_3v30,1
design__max_fanout_violation__count__corner:max_tt_025C_3v30,1998
design__max_cap_violation__count__corner:max_tt_025C_3v30,889
clock__skew__worst_hold__corner:max_tt_025C_3v30,-0.4014355350647854
clock__skew__worst_setup__corner:max_tt_025C_3v30,0.33279865916141077
timing__hold__ws__corner:max_tt_025C_3v30,0.4076821218227775
timing__setup__ws__corner:max_tt_025C_3v30,5.924501945610395
timing__hold__tns__corner:max_tt_025C_3v30,0.0
timing__setup__tns__corner:max_tt_025C_3v30,0.0
timing__hold__wns__corner:max_tt_025C_3v30,0
timing__setup__wns__corner:max_tt_025C_3v30,0.0
timing__hold_vio__count__corner:max_tt_025C_3v30,0
timing__hold_r2r__ws__corner:max_tt_025C_3v30,0.407682
timing__hold_r2r_vio__count__corner:max_tt_025C_3v30,0
timing__setup_vio__count__corner:max_tt_025C_3v30,0
timing__setup_r2r__ws__corner:max_tt_025C_3v30,18.581001
timing__setup_r2r_vio__count__corner:max_tt_025C_3v30,0
timing__unannotated_net__count__corner:max_tt_025C_3v30,6344
timing__unannotated_net_filtered__count__corner:max_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ff_n40C_3v60,6344
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count__corner:min_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:min_ff_n40C_3v60,1998
design__max_cap_violation__count__corner:min_ff_n40C_3v60,374
clock__skew__worst_hold__corner:min_ff_n40C_3v60,-0.3552602479416742
clock__skew__worst_setup__corner:min_ff_n40C_3v60,0.297530869474517
timing__hold__ws__corner:min_ff_n40C_3v60,0.27086045284444143
timing__setup__ws__corner:min_ff_n40C_3v60,7.806427725200698
timing__hold__tns__corner:min_ff_n40C_3v60,0.0
timing__setup__tns__corner:min_ff_n40C_3v60,0.0
timing__hold__wns__corner:min_ff_n40C_3v60,0
timing__setup__wns__corner:min_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:min_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:min_ff_n40C_3v60,0.270860
timing__hold_r2r_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:min_ff_n40C_3v60,18.901024
timing__setup_r2r_vio__count__corner:min_ff_n40C_3v60,0
timing__unannotated_net__count__corner:min_ff_n40C_3v60,6344
timing__unannotated_net_filtered__count__corner:min_ff_n40C_3v60,0
design__max_slew_violation__count__corner:max_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:max_ff_n40C_3v60,1998
design__max_cap_violation__count__corner:max_ff_n40C_3v60,870
clock__skew__worst_hold__corner:max_ff_n40C_3v60,-0.38439116866408746
clock__skew__worst_setup__corner:max_ff_n40C_3v60,0.32073519747926077
timing__hold__ws__corner:max_ff_n40C_3v60,0.2633402459521545
timing__setup__ws__corner:max_ff_n40C_3v60,7.555638106807677
timing__hold__tns__corner:max_ff_n40C_3v60,0.0
timing__setup__tns__corner:max_ff_n40C_3v60,0.0
timing__hold__wns__corner:max_ff_n40C_3v60,0
timing__setup__wns__corner:max_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:max_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:max_ff_n40C_3v60,0.263340
timing__hold_r2r_vio__count__corner:max_ff_n40C_3v60,0
timing__setup_vio__count__corner:max_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:max_ff_n40C_3v60,18.827145
timing__setup_r2r_vio__count__corner:max_ff_n40C_3v60,0
timing__unannotated_net__count__corner:max_ff_n40C_3v60,6344
timing__unannotated_net_filtered__count__corner:max_ff_n40C_3v60,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,6344
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
design__max_slew_violation__count__corner:min_ss_125C_3v00,49
design__max_fanout_violation__count__corner:min_ss_125C_3v00,1998
design__max_cap_violation__count__corner:min_ss_125C_3v00,379
clock__skew__worst_hold__corner:min_ss_125C_3v00,-0.4171238750248551
clock__skew__worst_setup__corner:min_ss_125C_3v00,0.3246547289562493
timing__hold__ws__corner:min_ss_125C_3v00,0.6477270014795943
timing__setup__ws__corner:min_ss_125C_3v00,2.8251837224868686
timing__hold__tns__corner:min_ss_125C_3v00,0.0
timing__setup__tns__corner:min_ss_125C_3v00,0.0
timing__hold__wns__corner:min_ss_125C_3v00,0
timing__setup__wns__corner:min_ss_125C_3v00,0.0
timing__hold_vio__count__corner:min_ss_125C_3v00,0
timing__hold_r2r__ws__corner:min_ss_125C_3v00,0.647727
timing__hold_r2r_vio__count__corner:min_ss_125C_3v00,0
timing__setup_vio__count__corner:min_ss_125C_3v00,0
timing__setup_r2r__ws__corner:min_ss_125C_3v00,18.305813
timing__setup_r2r_vio__count__corner:min_ss_125C_3v00,0
timing__unannotated_net__count__corner:min_ss_125C_3v00,6344
timing__unannotated_net_filtered__count__corner:min_ss_125C_3v00,0
design__max_slew_violation__count__corner:max_ss_125C_3v00,61
design__max_fanout_violation__count__corner:max_ss_125C_3v00,1998
design__max_cap_violation__count__corner:max_ss_125C_3v00,915
clock__skew__worst_hold__corner:max_ss_125C_3v00,-0.4465967444485239
clock__skew__worst_setup__corner:max_ss_125C_3v00,0.3544224736235982
timing__hold__ws__corner:max_ss_125C_3v00,0.6380327557990003
timing__setup__ws__corner:max_ss_125C_3v00,2.5244678173536523
timing__hold__tns__corner:max_ss_125C_3v00,0.0
timing__setup__tns__corner:max_ss_125C_3v00,0.0
timing__hold__wns__corner:max_ss_125C_3v00,0
timing__setup__wns__corner:max_ss_125C_3v00,0.0
timing__hold_vio__count__corner:max_ss_125C_3v00,0
timing__hold_r2r__ws__corner:max_ss_125C_3v00,0.638033
timing__hold_r2r_vio__count__corner:max_ss_125C_3v00,0
